iter	Passed	Remaining
0	1	119
1	2	119
2	3	122
3	4	118
4	6	121
5	7	116
6	8	115
7	10	116
8	11	116
9	12	113
10	14	113
11	15	113
12	16	111
13	17	109
14	19	109
15	20	108
16	22	107
17	23	106
18	24	106
19	26	105
20	27	103
21	29	103
22	30	101
23	31	100
24	32	98
25	34	98
26	36	97
27	37	96
28	38	95
29	40	94
30	41	93
31	43	91
32	44	90
33	46	89
34	47	88
35	48	86
36	50	85
37	51	84
38	53	82
39	54	81
40	55	79
41	56	77
42	57	76
43	58	74
44	59	73
45	61	71
46	62	70
47	63	68
48	64	67
49	66	66
50	67	65
51	69	63
52	70	62
53	71	61
54	72	59
55	74	58
56	75	56
57	76	55
58	77	54
59	79	52
60	80	51
61	81	50
62	83	48
63	84	47
64	85	46
65	87	45
66	88	43
67	90	42
68	91	41
69	93	39
70	94	38
71	96	37
72	97	36
73	98	34
74	99	33
75	101	31
76	103	30
77	104	29
78	105	28
79	107	26
80	108	25
81	110	24
82	111	22
83	113	21
84	115	20
85	116	18
86	118	17
87	120	16
88	121	15
89	123	13
90	124	12
91	126	10
92	127	9
93	129	8
94	130	6
95	132	5
96	134	4
97	135	2
98	137	1
99	139	0
