iter	Passed	Remaining
0	144	144644
1	145	72696
2	146	48668
3	147	36643
4	147	29434
5	148	24636
6	149	21252
7	150	18663
8	151	16637
9	151	15016
10	152	13692
11	152	12590
12	153	11665
13	154	10878
14	155	10181
15	155	9572
16	156	9035
17	156	8557
18	157	8129
19	158	7742
20	158	7393
21	159	7082
22	160	6800
23	160	6535
24	161	6290
25	161	6064
26	162	5858
27	163	5668
28	164	5493
29	164	5330
30	165	5178
31	166	5031
32	167	4897
33	167	4772
34	168	4648
35	169	4530
36	169	4418
37	170	4317
38	171	4222
39	172	4130
40	172	4041
41	173	3958
42	174	3878
43	174	3800
44	175	3724
45	176	3654
46	176	3588
47	177	3524
48	178	3460
49	178	3399
50	179	3340
51	180	3282
52	180	3227
53	181	3174
54	181	3125
55	182	3077
56	183	3032
57	183	2986
58	184	2942
59	185	2899
60	185	2857
61	186	2817
62	186	2778
63	187	2740
64	188	2705
65	188	2674
66	189	2641
67	190	2608
68	190	2574
69	191	2542
70	191	2511
71	192	2481
72	193	2451
73	193	2423
74	194	2397
75	195	2371
76	195	2345
77	196	2319
78	196	2293
79	197	2269
80	197	2245
81	198	2222
82	198	2196
83	199	2174
84	200	2153
85	200	2135
86	201	2115
87	202	2096
88	202	2076
89	203	2057
90	204	2038
91	204	2020
92	205	2002
93	206	1986
94	206	1970
95	207	1955
96	208	1938
97	208	1921
98	209	1905
99	209	1889
100	210	1874
101	211	1859
102	211	1844
103	212	1831
104	213	1818
105	213	1804
106	214	1790
107	215	1777
108	215	1763
109	216	1751
110	217	1737
111	217	1725
112	218	1713
113	218	1701
114	219	1690
115	220	1678
116	220	1666
117	221	1654
118	221	1643
119	222	1632
120	223	1621
121	223	1609
122	224	1598
123	224	1589
124	225	1579
125	226	1570
126	226	1559
127	227	1549
128	228	1540
129	228	1530
130	229	1520
131	229	1511
132	230	1502
133	231	1494
134	231	1485
135	232	1477
136	233	1468
137	233	1460
138	234	1452
139	235	1443
140	235	1436
141	236	1427
142	236	1419
143	237	1412
144	238	1405
145	238	1397
146	239	1390
147	240	1382
148	240	1375
149	241	1367
150	241	1360
151	242	1352
152	243	1345
153	243	1339
154	244	1332
155	245	1326
156	245	1319
157	246	1313
158	247	1306
159	247	1300
160	248	1292
161	248	1286
162	249	1279
163	250	1274
164	250	1269
165	251	1263
166	252	1257
167	252	1251
168	253	1245
169	253	1239
170	254	1233
171	255	1227
172	255	1222
173	256	1218
174	257	1213
175	258	1208
176	258	1202
177	259	1197
178	260	1192
179	260	1187
180	261	1182
181	262	1177
182	262	1173
183	263	1168
184	264	1163
185	264	1158
186	265	1153
187	265	1148
188	266	1143
189	267	1138
190	267	1133
191	268	1130
192	269	1126
193	270	1121
194	270	1117
195	271	1112
196	271	1107
197	272	1103
198	273	1098
199	273	1094
200	274	1090
201	275	1087
202	275	1083
203	276	1079
204	277	1074
205	277	1070
206	278	1066
207	278	1061
208	279	1057
209	280	1053
210	280	1050
211	281	1047
212	282	1043
213	282	1039
214	283	1035
215	284	1031
216	284	1027
217	285	1024
218	286	1021
219	287	1018
220	287	1014
221	288	1011
222	289	1007
223	289	1004
224	290	1000
225	291	996
226	291	993
227	292	989
228	292	986
229	293	983
230	294	979
231	294	976
232	295	972
233	296	969
234	296	965
235	297	962
236	297	958
237	298	955
238	299	952
239	299	949
240	300	946
241	301	943
242	301	939
243	302	936
244	302	933
245	303	930
246	304	926
247	304	923
248	305	920
249	306	918
250	306	915
251	307	912
252	307	909
253	308	906
254	309	903
255	309	900
256	310	897
257	310	894
258	311	891
259	312	889
260	313	886
261	313	883
262	314	880
263	314	877
264	315	874
265	315	871
266	316	869
267	317	866
268	317	863
269	318	861
270	319	858
271	319	855
272	320	853
273	321	850
274	321	848
275	322	845
276	323	843
277	323	841
278	324	839
279	325	837
280	326	834
281	326	832
282	327	829
283	328	827
284	328	824
285	329	821
286	329	819
287	330	817
288	331	815
289	332	812
290	332	810
291	333	807
292	333	805
293	334	803
294	335	800
295	335	798
296	336	795
297	336	793
298	337	791
299	338	789
300	338	786
301	339	784
302	340	782
303	340	780
304	341	777
305	341	775
306	342	773
307	343	771
308	344	769
309	344	767
310	345	764
311	345	762
312	346	760
313	346	757
314	347	755
315	348	753
316	348	751
317	349	749
318	350	747
319	350	745
320	351	743
321	352	741
322	352	739
323	353	737
324	353	735
325	354	733
326	355	731
327	356	729
328	356	727
329	357	725
330	357	723
331	358	721
332	359	719
333	359	717
334	360	715
335	361	713
336	361	712
337	362	710
338	363	708
339	363	706
